ts,master_metadata_track_name,ms_played,stress_level,crying_incident,is_period
2024-04-03 11:47:15+00:00,God Put a Smile upon Your Face,297306,2,0,0
2024-04-03 11:52:09+00:00,Biutyful,192394,2,0,0
2024-04-03 11:57:07+00:00,Charlie Brown,285159,2,0,0
2024-04-14 13:55:25+00:00,Kaybolan Yıllar,184680,2,0,0
2024-04-14 13:57:45+00:00,Shootout (Slowed + Reverb),140142,2,0,0
2024-04-14 13:58:25+00:00,Gözlerimin Etrafındaki Çizgiler,3314,2,0,0
2024-04-14 13:58:36+00:00,Yağmurlar,11928,2,0,0
2024-04-14 13:58:40+00:00,Mayın Tarlası,3371,2,0,0
2024-04-14 14:03:18+00:00,Çakıl Taşları,278143,2,0,0
2024-04-14 14:07:54+00:00,Bugün,275692,2,0,0
2024-04-14 14:13:20+00:00,Yalnız,305584,2,0,0
2024-04-14 14:19:02+00:00,Od,331295,2,0,0
2024-04-14 14:23:46+00:00,Sigara,284320,2,0,0
2024-04-14 14:28:12+00:00,Birileri Var,256100,2,0,0
2024-04-14 14:32:25+00:00,Daha İyi Olmaz mıydı,252772,2,0,0
2024-04-14 14:37:59+00:00,Böyle Kahpedir Dünya,253633,2,0,0
2024-04-14 14:42:03+00:00,Vazgeçtim Ben Bugün,244897,2,0,0
2024-04-14 14:48:55+00:00,Karışmasın Kimseler,317895,2,0,0
2024-04-14 14:57:22+00:00,Durma Yağmur Durma,296966,2,0,0
2024-04-14 15:06:28+00:00,Siyah,254400,2,0,0
2024-04-14 15:19:31+00:00,Jenerik,93994,2,0,0
2024-04-14 15:19:56+00:00,Aynadaki Yüz,22309,2,0,0
2024-04-14 15:22:34+00:00,Eyşan Unutamıyorum,158853,2,0,0
2024-04-14 15:22:37+00:00,Birleşme,1872,2,0,0
2024-04-14 15:24:09+00:00,Ama Unutamıyorum,91091,2,0,0
2024-04-14 16:35:45+00:00,Birleşme,264240,2,0,0
2024-04-14 17:20:18+00:00,Tamirci Çırağı,292540,2,0,0
2024-04-14 17:24:29+00:00,Unuttun mu Beni,250218,2,0,0
2024-04-19 11:56:12+00:00,Dönence,404403,2,0,1
2024-04-19 11:59:52+00:00,Dön Desem Döner Misin,177381,2,0,1
2024-04-19 17:13:45+00:00,Sensiz Ben,267000,2,0,1
2024-04-19 17:17:53+00:00,Biri Vardı,247876,2,0,1
2024-04-19 17:23:20+00:00,Hint Kumaşı,281540,2,0,1
2024-04-19 17:23:28+00:00,Yine Yeni Yeniden - Yeniden Sev,6901,2,0,1
2024-04-19 17:41:27+00:00,Yad Eller,142580,2,0,1
2024-04-20 08:26:53+00:00,Kupa Kızı Ve Sinek Valesi,290043,2,0,1
2024-04-20 08:30:39+00:00,Yad Eller,226380,2,0,1
2024-04-20 08:34:15+00:00,Yine Yeni Yeniden - Yeniden Sev,213380,2,0,1
2024-04-20 08:38:41+00:00,El Aman,260620,2,0,1
2024-04-20 08:43:50+00:00,Gönül,275160,2,0,1
2024-04-20 08:48:23+00:00,Kum Gibi,267240,2,0,1
2024-04-20 08:52:28+00:00,Söyle,242180,2,0,1
2024-04-20 08:52:35+00:00,Yorgun Demokrat,6517,2,0,1
2024-04-20 09:03:24+00:00,Benden Selam Söyleyin,233258,2,0,1
2024-04-20 09:08:00+00:00,Yorgun Demokrat,259460,2,0,1
2024-04-20 09:08:13+00:00,Politik,12283,2,0,1
2024-04-20 09:08:21+00:00,Pretty When You Cry,891,2,0,1
2024-04-20 09:22:21+00:00,Say Yes To Heaven,205148,2,0,1
2024-06-19 18:32:32+00:00,Cevapsız Sorular,263982,1,0,0
2024-06-19 18:35:28+00:00,Cevapsız Sorular,174895,1,0,0
2024-06-19 18:36:34+00:00,Bitti Rüya,65475,1,0,0
2024-06-19 18:40:33+00:00,Bir Kadın Çizeceksin,239613,1,0,0
2024-06-19 18:45:50+00:00,Dursun Zaman (feat. Göksel),295866,1,0,0
2024-06-19 19:21:44+00:00,Cambaz,76431,1,0,0
2024-06-19 19:25:03+00:00,lovely (with Khalid),194700,1,0,0
2024-06-19 19:29:05+00:00,Another Love,240247,1,0,0
2024-06-19 19:32:00+00:00,Džanum,172340,1,0,0
2024-06-19 19:36:16+00:00,Lost on You,255984,1,0,0
2024-06-19 19:40:23+00:00,everything i wanted,243500,1,0,0
2024-06-19 19:43:25+00:00,I Wanna Be Yours,178680,1,0,0
2024-06-19 19:43:34+00:00,Fairytale,11048,1,0,0
2024-06-19 19:46:42+00:00,MIDDLE OF THE NIGHT,184447,1,0,0
2024-06-19 19:47:12+00:00,Another Love,10275,1,0,0
2024-06-19 19:49:45+00:00,Say Yes To Heaven x Shootout,154482,1,0,0
2024-06-19 19:49:56+00:00,Turanım,9297,1,0,0
2024-06-19 19:50:07+00:00,Remembrance,11103,1,0,0
2024-06-19 19:50:12+00:00,Idea 22 (Sped Up),3023,1,0,0
2024-06-19 19:50:41+00:00,3 am walk - Slowed & Reverb Version,29640,1,0,0
2024-06-19 19:50:46+00:00,snowfall,4155,1,0,0
2024-06-19 19:50:54+00:00,snowfall (Slowed + Reverb),7623,1,0,0
2024-06-19 19:53:27+00:00,The Way (Instrumental),152192,1,0,0
2024-06-19 19:53:34+00:00,Experience,7056,1,0,0
2024-06-19 19:57:55+00:00,The Beach,151520,1,0,0
2024-06-19 19:58:02+00:00,Where's My Love,7072,1,0,0
2024-06-19 19:58:06+00:00,Wait,2990,1,0,0
2024-06-19 19:59:06+00:00,Star Shopping,59496,1,0,0
2024-06-19 19:59:15+00:00,It's Snowing Like It's the End of the World,8466,1,0,0
2024-06-19 19:59:21+00:00,Broken (Are Little Victories by the Ship of Life),5181,1,0,0
2024-06-19 19:59:27+00:00,"if it's real, then i'll stay (slowed + reverb)",5538,1,0,0
2024-06-19 19:59:31+00:00,Cornfield Chase,4044,1,0,0
2024-06-19 19:59:36+00:00,"apologize, for ruining my life.",4400,1,0,0
2024-06-19 20:01:07+00:00,Apocalypse - Instrumental Version,90860,1,0,0
2024-06-19 20:01:25+00:00,In Essence (Slowed),17970,1,0,0
2024-06-19 20:01:30+00:00,snowfall (Sped Up),4291,1,0,0
2024-06-19 20:01:44+00:00,outside,13820,1,0,0
2024-06-19 20:01:49+00:00,Endless,4740,1,0,0
2024-06-19 20:01:55+00:00,watching the stars,7276,1,0,0
2024-06-19 20:02:04+00:00,distorted memories,7834,1,0,0
2024-06-19 20:02:09+00:00,Fell in Love,4375,1,0,0
2024-06-19 20:02:59+00:00,i don't know how i feel,50613,1,0,0
2024-06-19 20:05:32+00:00,The Beach - Instrumental,153171,1,0,0
2024-06-19 20:05:37+00:00,Experience,5198,1,0,0
2024-06-19 20:05:56+00:00,Unfair,17980,1,0,0
2024-06-19 20:06:39+00:00,I Wanted to Leave,42830,1,0,0
2024-06-19 20:06:53+00:00,Say Yes To Heaven - Sped Up,12217,1,0,0
2024-06-19 20:10:58+00:00,Say Yes To Heaven,204140,1,0,0
